rms_id,title,category,status_class,current_hero_url,current_hero_path,current_in_storage,current_dupe_count,proposed_hero_url,proposed_source,proposed_confidence
1899,Eriksen Mesh Edison Side Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/_squarespace/857c16dccc_ERIKSEN_Side_Table_0.png,_squarespace/857c16dccc_ERIKSEN_Side_Table_0.png,true,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/_squarespace/857c16dccc_ERIKSEN_Side_Table_0.png,keep_current,n/a
351,Estes Reclaimed Dining Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/ESTES Dining Table 0.png,TABLES/ESTES Dining Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/ESTES Dining Table 0.png,keep_current,n/a
2761,"Farrow 29"" Cedar Cocktail Column",tables,SHARED_KEEP,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/Farrow 28.png,TABLES/Farrow 28.png,false,4,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/Farrow 28.png,keep_current,n/a
2762,"Farrow 31"" Cedar Cocktail Column",tables,SHARED_KEEP,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/Farrow 28.png,TABLES/Farrow 28.png,false,4,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/Farrow 28.png,keep_current,n/a
3119,Arian/Vidal Butter Knife,tableware,SHARED_KEEP,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLEWEAR/ARIAN Set.png,TABLEWEAR/ARIAN Set.png,false,6,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLEWEAR/ARIAN Set.png,keep_current,n/a
2764,"Farrow 43"" Cedar Cocktail Column",tables,SHARED_KEEP,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/Farrow 28.png,TABLES/Farrow 28.png,false,4,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/Farrow 28.png,keep_current,n/a
2860,Gunnison Black Wood Side Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/GUNNISON Side Table 0.png,TABLES/GUNNISON Side Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/GUNNISON Side Table 0.png,keep_current,n/a
341,Hayden Wood & Nickel Side Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/HAYDEN Side Table 0.png,TABLES/HAYDEN Side Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/HAYDEN Side Table 0.png,keep_current,n/a
3837,Jaime Coffee Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/JAIME Coffee Table 0.png,TABLES/JAIME Coffee Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/JAIME Coffee Table 0.png,keep_current,n/a
3508,Jett Mini Brass & Wood Community Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/JET MINI Community Table 1.png,TABLES/JET MINI Community Table 1.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/JET MINI Community Table 1.png,keep_current,n/a
3996,Judah Espresso Martini Side Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/JUDAH Side Table 0.png,TABLES/JUDAH Side Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/JUDAH Side Table 0.png,keep_current,n/a
3834,Maxine Hourglass Side Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/MAXINE Side Table 0.png,TABLES/MAXINE Side Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/MAXINE Side Table 0.png,keep_current,n/a
287,Myra Hide Coffee Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/MYRA Coffee Table 0.png,TABLES/MYRA Coffee Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/MYRA Coffee Table 0.png,keep_current,n/a
733,Nanette Marble Bistro Side Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/NANETTE Side Table 0.png,TABLES/NANETTE Side Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/NANETTE Side Table 0.png,keep_current,n/a
3013,Ozias Granite Side Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/OZIAS Table.png,TABLES/OZIAS Table.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/OZIAS Table.png,keep_current,n/a
3784,Raden Distressed Metal Coffee Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/RADEN Rectangle Coffee Table 0.png,TABLES/RADEN Rectangle Coffee Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/RADEN Rectangle Coffee Table 0.png,keep_current,n/a
4099,Relic Limestone Coffee Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/RELIC Limestone Coffee Table 0.png,TABLES/RELIC Limestone Coffee Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/RELIC Limestone Coffee Table 0.png,keep_current,n/a
4097,Relic Limestone Column,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/RELIC Limestone Column 0.png,TABLES/RELIC Limestone Column 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/RELIC Limestone Column 0.png,keep_current,n/a
4098,Relic Limestone Side Table,tables,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/RELIC Limestone Side Table 0.png,TABLES/RELIC Limestone Side Table 0.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLES/RELIC Limestone Side Table 0.png,keep_current,n/a
3479,"Akoya 11"" Plate",tableware,SHARED_KEEP,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLEWEAR/AKOYA 11.png,TABLEWEAR/AKOYA 11.png,false,2,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLEWEAR/AKOYA 11.png,keep_current,n/a
3481,"Akoya 7"" Plate",tableware,SHARED_KEEP,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLEWEAR/AKOYA 11.png,TABLEWEAR/AKOYA 11.png,false,2,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLEWEAR/AKOYA 11.png,keep_current,n/a
3443,Allira Cut Glass Goblet,tableware,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLEWEAR/ALLIRA Goblet.png,TABLEWEAR/ALLIRA Goblet.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLEWEAR/ALLIRA Goblet.png,keep_current,n/a
2690,Alta Matte Silver Butter Knife,tableware,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLEWEAR/ALTA Butter Knife.png,TABLEWEAR/ALTA Butter Knife.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLEWEAR/ALTA Butter Knife.png,keep_current,n/a
2687,Alta Matte Silver Dinner Fork,tableware,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLEWEAR/ALTA Dinner Fork.png,TABLEWEAR/ALTA Dinner Fork.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLEWEAR/ALTA Dinner Fork.png,keep_current,n/a
2686,Alta Matte Silver Dinner Knife,tableware,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLEWEAR/ALTA Dinner Knife.png,TABLEWEAR/ALTA Dinner Knife.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/TABLEWEAR/ALTA Dinner Knife.png,keep_current,n/a
